service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20150614WKD,1,1,1,1,1,0,0,20150614,20161231
A20150614SAT,0,0,0,0,0,1,0,20150614,20161231
A20150614SUN,0,0,0,0,0,0,1,20150614,20161231
B20150614WKD,1,1,1,1,1,0,0,20150614,20161231
B20150614SAT,0,0,0,0,0,1,0,20150614,20161231
B20150614SUN,0,0,0,0,0,0,1,20150614,20161231
R20150510WKD,1,1,1,1,1,0,0,20150510,20161231
R20150510SAT,0,0,0,0,0,1,0,20150510,20161231
R20150510SUN,0,0,0,0,0,0,1,20150510,20161231
S20150510MON,1,0,0,0,0,0,0,20150510,20161231
